Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
Arbonia AG;ARBN;11024060;CH;CHF;XSWX;Registered Share;4.20;International Reporting Standard;IFRS;21.04.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Arundel AG;ARON;227101;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
ARYZTA AG;ARYN;4323836;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;;31.07.;Ernst & Young AG - CH[500646];No;;TRUE;
Ascom Holding AG;ASCN;1133920;CH;CHF;XSWX;Registered Share;0.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
ASMALLWORLD AG;ASWN;40488012;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Autoneum Holding AG;AUTN;12748036;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;23.03.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Bachem Holding AG;BANB;117649372;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Mazars SA - CH[500241];No;;TRUE;Out
Bâloise Holding AG;BALN;1241051;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;28.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Bank Linth LLB AG;LINN;130775;CH;CHF;XSWX;Registered Share;20.00;Swiss Reporting Standard;Bank law;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Banque Cantonale de Genève;BCGE;35049471;CH;CHF;XSWX;Registered Share;50.00;Swiss Reporting Standard;Bank law;02.05.2023;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Banque Cantonale du Jura SA;BCJ;35066567;CH;CHF;XSWX;Registered Share;14.00;Swiss Reporting Standard;Bank law;27.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Banque Cantonale Vaudoise;BCVN;53175175;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Bank law;04.05.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
