COMPANY NAME,COUNTRY / TERRITORY,2-LETTER CODE,ACCOUNTING CODE (PAX),AIRLINE PREFIX CODE
Blue Islands Limited,United Kingdom,SI,821,
Boliviana de Aviacion (BoA),Bolivia,OB,930,930
Bond Air Cargo, LLC,UNITED STATES OF AMERICA,B7*,,029
Boutique Air, Inc.,UNITED STATES OF AMERICA,4B,184,
Braathens Regional Airways AB,Sweden,TF,276,
Bradley Air Services Limited t/a First Air,Canada,7F,245,245
Bravo Passenger Solutions Pte. Ltd.,Singapore,B1,,
Breeze Airways,UNITED STATES OF AMERICA,MX,,
Bringer Air Cargo Taxi Aereo Ltda,Brazil,E6*,,417
British Airways p.l.c.,United Kingdom,BA,125,125
Brussels Airlines,Belgium,SN,082,082
Budapest Aircraft Service Kft.,Hungary,RP,,
Buddha Air Ltd.,Nepal,U4,,
Bul Air Ltd.,Bulgaria,LB*,,
Bulgaria Air JSC,Bulgaria,FB,623,623
Buraq Air dba Buraq Air,Libyan Arab Jamahiriya,UZ,928,928
CA HiSky SRL,Moldova, Republic of,H7,,
CA Terra Avia SRL,Moldova, Republic of,T8*,,357
Caicos Express Airways,Turks and Caicos Islands,9Q,,
CAIRE dba Air Antilles Express,French Guyana,3S,875,
Calm Air International Ltd.,Canada,MO,622,622
Cambodia Airways dba Cambodia Airways Co., Ltd,Cambodia,KR,733,
Cambodia Angkor Air t/a Cambodia Angkor Air Co., Ltd.,Cambodia,K6,188,188
Cameroon Airlines Corporation (Camair-Co),Cameroon,QC,040,
Canadian North Inc.,Canada,5T,518,518
Canary Fly, S.A.,Spain,PM,496,
Capiteq Limited dba Airnorth,Australia,TL*,935,935
Cargo Three, Inc. Cargo Tres Sociedad Anonima,Panama,C3*,,364
Cargojet Airways Ltd.,Canada,W8,,489
CargoLogic Germany GmbH,Germany,6L*,,342
Cargologicair Ltd,United Kingdom,P3*,,560
Cargolux Airlines International S.A,Luxembourg,CV,,172
Cargolux Italia S.p.A.,Italy,C8,,356
Caribbean Airlines Limited dba Caribbean Airlines Ltd.,Trinidad and Tobago,BW,106,106
Caribbean Sun Airlines, Inc. dba World Atlantic Airlines,UNITED STATES OF AMERICA,WL,,
Carpatair S.A.,Romania,V3,021,
Cathay Pacific Airways Ltd.,Hong Kong (SAR), China,CX,160,160
Cayman Airways Limited,Cayman Islands,KX,378,378
Cebgo, Inc dba Cebgo,Philippines,DG,931,
Cebu Air, Inc dba Cebu Pacific Air,Philippines,5J,203,203
CEIBA Intercontinental,Guinea,C2,304,304
Cemair (Pty) Ltd. t/a Cemair,South Africa,5Z,225,
Central Mountain Air Ltd.,Canada,9M,634,634
Chair Airlines AG,Switzerland,GM*,581,
Chalair Aviation,France,CE,980,
Challenge Airlines (BE) S.A.,Belgium,X7,,744
Challenge Airlines (IL) Ltd,Israel,5C,,700
Champlain Enterprises Inc. dba Commutair,UNITED STATES OF AMERICA,C5,841,841
Changan Airlines Limited Company,People's Republic of China,9H,856,856
Charlie Airlines Limited dba Cyprus Airways,Cyprus,CY,078,078
Charterlines, Inc.,UNITED STATES OF AMERICA,CQ*,,976
Chengdu Airlines,People's Republic of China,EU,811,811
China Airlines Ltd.,Chinese Taipei,CI,297,297
China Cargo Airlines Ltd.,People's Republic of China,CK,,112
China Central Airlines Co., Ltd.,People's Republic of China,I9,,959
China Central Longhao Airlines Co. Ltd,People's Republic of China,GI,,908
China Eastern Airlines,People's Republic of China,MU,781,781
China Express Airlines,People's Republic of China,G5,987,987
CHINA GENERAL AVIATION LTD,People's Republic of China,LL,939,
China Postal Airlines Ltd.,People's Republic of China,CF,,804
China Southern Airlines,People's Republic of China,CZ,784,784
China Travel Tours Transp Services Hong Kong Limited,Hong Kong (SAR), China,NN,,
China United Airlines,People's Republic of China,KN,822,822
Chongqing Airlines Co. Ltd,People's Republic of China,OQ,878,878
Chrono Jet Inc. dba GROUPE CHRONO AVIATION,Canada,MB*,,
Chu Kong Passenger Transport Co. Ltd.,Hong Kong (SAR), China,3A*,028,
CitizenPlane,France,1L,,
Cityjet,Ireland,WX,689,689
Closed Joint Stock Company "IrAero",Russian Federation,IO,154,
CM Airlines,Honduras,CC*,907,
CMA CGM AIR CARGO dba CMA CGM AIR CARGO,France,2C,,003
Coastal Travels Ltd.,Tanzania, United Republic of,CQ,,
Cobra Aviation (Pty) Ltd,South Africa,0C,,
Colorful GuiZhou Airlines Co., Ltd,People's Republic of China,GY,661,661
Comlux Aruba NV,Aruba,CS,,
Compagnie Aerienne ASKY dba ASKY,Togo,KP,032,032
Compagnie Africaine d'Aviation,Congo, Democratic Republic of,BU,883,
Compania De Aviacion Paraguaya S.A.,Paraguay,ZP,445,445
Compania de Servicios de Transporte Aereo Amaszonas - Amaszonas S.A,Bolivia,Z8*,464,
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,Romania,RO,281,281
Compania Operadora de Corto y Medio Radio Iberia Express, S.A.U,Spain,I2,060,060
Compania Panamena de Aviacion, S.A. (COPA),Panama,CM,230,230
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Mexico,Y4*,036,036
Condor Flugdienst GmbH,Germany,DE,881,881
Congo Airways SA (CGA),Congo, Democratic Republic of,8Z,582,582
Conquest Air, Inc.,UNITED STATES OF AMERICA,C4,,340
CONVIASA,Venezuela,V0,308,308
Corendon Dutch Airlines B.V.,Netherlands,CD,,503
Corporate Flight Management Inc dba Contour Airlines,UNITED STATES OF AMERICA,LF,522,
Corsair t/a Corsair International,France,SS,923,923
Costa Rica Green Airways S.R.L dba Costa Rica Green Airways S.R.L,Costa Rica,GW,,
Coyne Airways Ltd,United Kingdom,7C*,,575
Croatia Airlines,Croatia,OU,831,831
Cronos Airlines,Equatorial Guinea,C8*,498,
CSafe Global,United Kingdom,7K*,,
CTW Consulting,Bulgaria,1W,,
Cubana de Aviacion S.A.,Cuba,CU,136,136
Czech Airlines a.s,. CSA,Czech Republic,OK,064,064
Daallo Airlines,United Arab Emirates,D3,991,991
Daallo Airlines(Somalia),Somalia,D9,201,
Dac International Airlines Limited dba PassionAir,Ghana,OP,213,
Dana Airlines Limited dba Dana Airlines Limited,Nigeria,9J,234,
Darwin Travel Technology, Inc.,UNITED STATES OF AMERICA,N1,,
Das Nordisk Ltd.,Hong Kong (SAR), China,DS*,,
DAT A/S,Denmark,DX*,243,
Delta Air Lines, Inc.,UNITED STATES OF AMERICA,DL,006,006
Delux Public Charter LLC dba JSX Air,UNITED STATES OF AMERICA,XE,569,
Deutsche Bahn AG,Germany,2A*,,
Department of National Defence,Canada,YF,,
Deutsche Lufthansa AG,Germany,LH,220,220
DHL Aero Expreso S.A.,Panama,D5*,,992
DHL Air (Austria) GmbH,Austria,Q7*,,
DHL Air Limited,United Kingdom,D0,,936
DHL de Guatemala S.A.,Guatemala,L3*,,947
DHL Aviation EEMEA B.S.C.(c),Bahrain,ES*,,155
Divi Divi Air N.V.,Curacao,3R,,
Dokasch GmBH,Germany,3D*,,
Donghai Airlines Co., Ltd,People's Republic of China,DZ,893,893
DreamJet SAS t/a La Compagnie,France,B0,002,002
Druk Air Corporation Limited (Royal Bhutan Airlines),Bhutan,KB,787,787
DXC TECHNOLOGY SERVICES LLC,UNITED STATES OF AMERICA,1Y,095,
Eastern Airlines, LLC,UNITED STATES OF AMERICA,2D,054,054
Easy Charter,Georgia,RD*,,311
Easyfly S.A.,Colombia,VE,246,
easyJet Europe Airline GmbH,Austria,EC*,,
Easyjet Switzerland S.A,Switzerland,DS,,
EASYJET UK LIMITED,United Kingdom,U2,,
Edelweiss Air AG,Switzerland,WK,,945
Egypt Air Holding Company dba Air Sphinx,Egypt,4D,,
Egyptair dba Egyptair Airlines,Egypt,MS,077,077
El Al Israel Airlines Ltd. dba EL AL,Israel,LY,114,114
Elitavia Malta Limited,Malta,MA*,,
Elite Airways LLC,UNITED STATES OF AMERICA,7Q,087,
Emerald Airlines Ireland Limited,Ireland,EA,,
Emirates,United Arab Emirates,EK,176,176
Empire Airlines,UNITED STATES OF AMERICA,EM,,
Endeavor Air,UNITED STATES OF AMERICA,9E,430,430
Enter Air Spolka z.o.o.,Poland,E4*,,
Envirotainer AB,Sweden,PC*,,
Equaflight Service dba Equaflight Service,Congo,E7,965,
Envoy Air Inc.,UNITED STATES OF AMERICA,MQ,093,093
EQUINOXAIR S.A.S.,Ecuador,HN,249,
Eritrean Airlines s.c. dba Eritrean Airlines s.c.,Eritrea,B8,637,637
Erofey Limited Liability Company,Russian Federation,RF*,,358
Estafeta Carga Aerea, S.A. de C.V,Mexico,E7*,,355
Estelar Latinoamerica C.A. dba Estelar,Venezuela,ES,052,
ETF Airways d.o.o.,Croatia,LI*,,
Ethiopian Airlines Group dba Ethiopian Airlines,Ethiopia,ET,071,071
Etihad Airways dba Etihad,United Arab Emirates,EY,607,607
Euroairlines, S.L.,Spain,Q4,291,291
EuroAtlantic Airways,Portugal,YU,551,551
European Air Charter Jsc. dba NIL,Bulgaria,H6,,
European Air Transport Leipzig,Germany,QY,,615
European Cargo Limited,United Kingdom,SE,,436
European Cargo Services BV,Netherlands,EJ*,,
Eurostar International Limited,United Kingdom,9F*,814,
Eurowings Europe GmbH,Austria,E2,,
Eurowings GmbH,Germany,EW,104,104
EVA Airways Corporation,Chinese Taipei,BR,695,695
Evelop Airlines S.L. dba Iberojet Airlines,Spain,E9,783,783
EW Discover GmbH,Germany,4Y,693,
EWA Air,Mayotte,ZD,732,732
Exploits Valley Air Services,Canada,8K*,,
Express Air Cargo,Tunisia,7A,,336
EXPRESS FREIGHTERS AUSTRALIA PTY LI,Australia,QE,,
ExpressJet Airlines, Inc.,UNITED STATES OF AMERICA,EV,,
EZ Air BV,Curacao,7Z,,
EZNIS AIRWAYS LLC,Mongolia,MG,116,116
F.B. Lineas Aereas SA,Argentina,FO,,
Farelogix Inc.,UNITED STATES OF AMERICA,F1,941,
Fast Colombia S.A.S dba VIVAAIR,Colombia,VH,641,641
Fastjet Zimbabwe,Zimbabwe,FN,334,
Federal Airlines (Pty) Ltd,South Africa,7V,739,
FedEx,UNITED STATES OF AMERICA,FX,,023
Finnair Oyj,Finland,AY,105,105
FITS Aviation (Pvt) Ltd,Sri Lanka,8D,,319
Flair Airlines Ltd.,Canada,F8,,
FlexFlight ApS,Denmark,W2,365,
Flightlink Limited,Tanzania, United Republic of,YS,,
Flugfelag Islands ehf,Iceland,NY,,
Fly Airline Peru S.A.C,Peru,H8,609,
Fly Always N.V. dba Fly Always,Suriname,8W,,
FLY AO-LINHAS AEREAS, LIMITADA dba FLY ANGOLA,Angola,EQ,,
Fly Baghdad Airline dba FBA,Iraq,IF,017,
Fly Branson Travel dba Branson Air Express,UNITED STATES OF AMERICA,1X,,
Fly Gangwon Co., Ltd.,Korea, Republic of,4V,884,
Fly One S.R.L.,Moldova, Republic of,5F,130,130
Fly OYA International dba FLY OYA,Libyan Arab Jamahiriya,YI,854,
Fly Play hf.,Iceland,OG,,224
Fly Pro SRL,Moldova, Republic of,FP*,,315
Fly2Sky Ltd.,Bulgaria,F6,,
flyadeal,Saudi Arabia,F3,,
Flyafrica Zimbabwe (PVT) Ltd,Zimbabwe,ZC,,
